Date,Price
03.07.2020,"1.754,80"
06.07.2020,"1.852,00"
07.07.2020,"1.873,00"
08.07.2020,"1.838,60"
09.07.2020,"1.808,00"
10.07.2020,"1.811,80"
13.07.2020,"1.822,00"
14.07.2020,"1.786,60"
15.07.2020,"1.811,80"
16.07.2020,"1.821,00"
17.07.2020,"1.827,00"
20.07.2020,"1.822,00"
21.07.2020,"1.851,20"
22.07.2020,"1.863,00"
23.07.2020,"1.911,00"
24.07.2020,"1.906,20"
27.07.2020,"1.915,00"
28.07.2020,"1.985,00"
29.07.2020,"2.005,80"
30.07.2020,"1.990,00"
31.07.2020,"1.975,00"
03.08.2020,"2.028,00"
04.08.2020,"2.043,00"
05.08.2020,"2.031,40"
06.08.2020,"1.985,00"
07.08.2020,"1.986,00"
10.08.2020,"1.999,40"
11.08.2020,"1.973,00"
12.08.2020,"1.986,60"
13.08.2020,"2.044,00"
14.08.2020,"2.079,80"
17.08.2020,"2.106,00"
18.08.2020,"2.080,00"
19.08.2020,"2.163,00"
20.08.2020,"2.128,80"
21.08.2020,"2.150,00"
24.08.2020,"2.182,60"
25.08.2020,"2.314,00"
26.08.2020,"2.337,60"
27.08.2020,"2.335,20"
28.08.2020,"2.299,00"
31.08.2020,"2.350,00"
01.09.2020,"2.390,00"
02.09.2020,"2.316,80"
03.09.2020,"2.268,00"
04.09.2020,"2.200,00"
07.09.2020,"2.182,20"
08.09.2020,"2.110,20"
09.09.2020,"2.143,00"
10.09.2020,"2.138,20"
11.09.2020,"2.129,00"
14.09.2020,"2.210,00"
15.09.2020,"2.228,80"
16.09.2020,"2.177,00"
17.09.2020,"2.222,00"
18.09.2020,"2.220,00"
21.09.2020,"2.202,40"
22.09.2020,"2.307,20"
23.09.2020,"2.325,20"
24.09.2020,"2.216,60"
25.09.2020,"2.200,00"
28.09.2020,"2.210,00"
29.09.2020,"2.156,20"
30.09.2020,"2.135,00"
01.10.2020,"2.156,40"
02.10.2020,"2.201,40"
05.10.2020,"2.198,20"
06.10.2020,"2.156,40"
07.10.2020,"2.152,60"
08.10.2020,"2.170,80"
09.10.2020,"2.167,80"
12.10.2020,"2.239,00"
13.10.2020,"2.268,00"
14.10.2020,"2.266,80"
15.10.2020,"2.256,80"
16.10.2020,"2.289,00"
19.10.2020,"2.295,60"
20.10.2020,"2.269,00"
21.10.2020,"2.257,40"
22.10.2020,"2.249,80"
23.10.2020,"2.242,00"
26.10.2020,"2.163,00"
27.10.2020,"2.151,00"
28.10.2020,"2.109,00"
29.10.2020,"2.127,60"
30.10.2020,"2.090,00"
02.11.2020,"2.119,80"
03.11.2020,"2.119,80"
05.11.2020,"2.196,20"
06.11.2020,"2.242,00"
09.11.2020,"2.264,00"
10.11.2020,"2.250,00"
11.11.2020,"2.234,00"
12.11.2020,"2.216,60"
13.11.2020,"2.227,00"
16.11.2020,"2.206,80"
17.11.2020,"2.177,40"
18.11.2020,"2.166,00"
19.11.2020,"2.140,80"
20.11.2020,"2.155,00"
23.11.2020,"2.180,00"
24.11.2020,"2.175,60"
25.11.2020,"2.197,00"
26.11.2020,"2.256,80"
27.11.2020,"2.280,80"
30.11.2020,"2.193,00"
01.12.2020,"2.174,00"
02.12.2020,"2.163,00"
03.12.2020,"2.160,00"
04.12.2020,"2.141,80"
07.12.2020,"2.114,80"
08.12.2020,"2.126,60"
09.12.2020,"2.110,40"
10.12.2020,"2.095,00"
11.12.2020,"2.111,00"
14.12.2020,"2.085,20"
15.12.2020,"2.086,00"
16.12.2020,"2.063,80"
17.12.2020,"2.049,60"
18.12.2020,"2.007,40"
21.12.2020,"2.000,80"
22.12.2020,"1.979,00"
23.12.2020,"1.973,20"
24.12.2020,"1.982,60"
25.12.2020,"2.025,00"
28.12.2020,"1.999,00"
29.12.2020,"1.975,80"
30.12.2020,"1.980,80"
04.01.2021,"1.984,80"
05.01.2021,"2.041,80"
06.01.2021,"2.005,60"
08.01.2021,"2.016,00"
11.01.2021,"2.059,00"
12.01.2021,"2.044,80"
13.01.2021,"2.017,40"
14.01.2021,"1.987,80"
15.01.2021,"1.967,00"
18.01.2021,"1.958,60"
19.01.2021,"1.935,40"
20.01.2021,"1.966,20"
21.01.2021,"1.950,80"
22.01.2021,"1.951,00"
25.01.2021,"1.959,80"
26.01.2021,"1.979,40"
27.01.2021,"1.990,00"
28.01.2021,"1.979,20"
29.01.2021,"1.962,00"
01.02.2021,"1.977,00"
02.02.2021,"1.990,40"
03.02.2021,"2.014,80"
04.02.2021,"2.037,60"
05.02.2021,"2.042,00"
08.02.2021,"2.023,00"
09.02.2021,"2.013,60"
10.02.2021,"2.013,60"
11.02.2021,"2.020,20"
12.02.2021,"2.004,80"
15.02.2021,"2.021,20"
16.02.2021,"2.039,80"
17.02.2021,"2.024,20"
18.02.2021,"1.997,40"
19.02.2021,"2.018,80"
20.02.2021,"2.019,20"
22.02.2021,"2.002,40"
24.02.2021,"2.041,80"
25.02.2021,"2.007,60"
